",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP"
"1,1,WAS,Kwame Brown\brownkw01,,12,607,13389,4035,3333,554,.492,.111,.570,22.1,6.6,5.5,0.9,20.8,.074,-2.1,-0.4"
"2,2,LAC,Tyson Chandler\chandty01,,18,1134,31398,9475,10401,961,.596,.000,.645,27.7,8.4,9.2,0.8,101.5,.155,1.5,27.4"
"3,3,ATL,Pau Gasol\gasolpa01,,18,1226,41001,20894,11305,3925,.507,.368,.753,33.4,17.0,9.2,3.2,144.1,.169,3.5,56.8"
"4,4,CHI,Eddy Curry\curryed01,,11,527,13109,6820,2725,287,.545,1.000,.642,24.9,12.9,5.2,0.5,21.7,.080,-3.5,-5.0"
"5,5,GSW,Jason Richardson\richaja01,Michigan State University,13,857,29241,14644,4245,2284,.438,.370,.707,34.1,17.1,5.0,2.7,59.1,.097,1.3,24.4"
"6,6,MEM,Shane Battier\battish01,Duke University,13,977,30004,8408,4082,1717,.437,.384,.743,30.7,8.6,4.2,1.8,75.7,.121,2.9,37.0"
"7,7,NJN,Eddie Griffin\griffed01,Seton Hall University,5,303,6729,2171,1744,236,.377,.315,.671,22.2,7.2,5.8,0.8,10.9,.078,-1.0,1.7"
"8,8,CLE,DeSagana Diop\diopde01,,12,601,8403,1185,2219,270,.427,.167,.467,14.0,2.0,3.7,0.4,12.8,.073,0.0,4.3"
"9,9,DET,Rodney White\whitero02,University of North Carolina at Charlotte,4,218,3354,1540,485,237,.424,.314,.749,15.4,7.1,2.2,1.1,1.8,.026,-3.8,-1.5"
"10,10,BOS,Joe Johnson\johnsjo02,University of Arkansas,17,1276,44234,20405,5059,5001,.441,.371,.802,34.7,16.0,4.0,3.9,82.8,.090,0.4,26.4"
"11,11,BOS,Kedrick Brown\brownke01,Okaloosa-Walton Community College,4,143,1935,509,347,103,.405,.274,.640,13.5,3.6,2.4,0.7,3.0,.074,-2.2,-0.1"
"12,12,SEA,Vladimir Radmanovic\radmavl01,,12,737,16164,5879,2784,998,.415,.378,.758,21.9,8.0,3.8,1.4,26.5,.079,-0.1,7.7"
"13,13,HOU,Richard Jefferson\jefferi01,University of Arizona,17,1181,34293,14904,4720,2412,.464,.376,.768,29.0,12.6,4.0,2.0,83.0,.116,0.3,19.8"
"14,14,GSW,Troy Murphy\murphtr01,University of Notre Dame,12,729,19921,7860,5708,1088,.445,.388,.785,27.3,10.8,7.8,1.5,50.3,.121,-0.1,9.5"
"15,15,ORL,Steven Hunter\huntest01,DePaul University,8,400,5993,1817,1264,79,.560,.000,.485,15.0,4.5,3.2,0.2,10.6,.085,-2.8,-1.3"
"16,16,CHH,Kirk Haston\hastoki01,Indiana University,2,27,134,32,27,8,.232,.000,.500,5.0,1.2,1.0,0.3,-0.5,-.197,-13.5,-0.4"
"17,17,TOR,Michael Bradley\bradlmi01,Villanova University,5,173,2016,483,591,93,.477,.143,.511,11.7,2.8,3.4,0.5,2.0,.047,-3.7,-0.9"
"18,18,HOU,Jason Collins\collija04,Stanford University,13,735,14974,2621,2706,626,.411,.206,.647,20.4,3.6,3.7,0.9,20.1,.064,-2.0,0.2"
"19,19,POR,Zach Randolph\randoza01,Michigan State University,17,1116,34616,18578,10208,2049,.471,.273,.764,31.0,16.6,9.1,1.8,81.1,.112,-0.4,13.6"
"20,20,CLE,Brendan Haywood\haywobr01,University of North Carolina,13,816,18680,5538,4875,442,.528,.000,.587,22.9,6.8,6.0,0.5,43.8,.113,-0.2,8.4"
"21,21,BOS,Joseph Forte\fortejo01,University of North Carolina,2,25,125,30,17,17,.234,.000,.800,5.0,1.2,0.7,0.7,-0.4,-.166,-10.1,-0.3"
"22,22,ORL,Jeryl Sasser\sasseje01,Southern Methodist University,2,82,1061,204,191,67,.303,.295,.687,12.9,2.5,2.3,0.8,0.7,.032,-2.9,-0.2"
"23,23,HOU,Brandon Armstrong\armstbr01,Pepperdine University,3,108,699,239,63,24,.352,.333,.600,6.5,2.2,0.6,0.2,-0.6,-.039,-8.6,-1.2"
"24,24,UTA,Raul Lopez\lopezra01,,2,113,2135,733,194,428,.429,.346,.853,18.9,6.5,1.7,3.8,2.1,.047,-3.5,-0.8"
"25,25,SAC,Gerald Wallace\wallage01,University of Alabama,14,832,24731,9933,4838,1725,.469,.312,.709,29.7,11.9,5.8,2.1,59.7,.116,2.4,27.3"
"26,26,PHI,Samuel Dalembert\dalemsa01,Seton Hall University,13,886,21646,6814,6942,465,.521,.083,.706,24.4,7.7,7.8,0.5,51.3,.114,-0.7,7.2"
"27,27,MEM,Jamaal Tinsley\tinslja01,Iowa State University,11,547,14443,4652,1605,3330,.393,.299,.716,26.4,8.5,2.9,6.1,17.2,.057,-0.4,5.7"
"28,28,SAS,Tony Parker\parketo01,,18,1254,38279,19473,3396,7036,.491,.324,.751,30.5,15.5,2.7,5.6,111.3,.140,0.7,25.7"
",,,,,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick.,Minnesota forfeited the 29th overall pick."
"30,30,CHI,Trenton Hassell\hassetr01,Austin Peay State University,9,644,16278,3741,1826,1132,.445,.318,.765,25.3,5.8,2.8,1.8,13.8,.041,-2.3,-1.3"
"31,31,GSW,Gilbert Arenas\arenagi01,University of Arizona,11,552,19351,11402,2168,2909,.421,.351,.803,35.1,20.7,3.9,5.3,51.3,.127,2.9,24.1"
"32,32,ORL,Omar Cook\cookom01,St. John's University,2,22,213,37,13,46,.333,.000,.500,9.7,1.7,0.6,2.1,-0.1,-.021,-6.1,-0.2"
"33,33,MEM,Will Solomon\solomwi01,Clemson University,2,115,1584,584,132,225,.378,.298,.692,13.8,5.1,1.1,2.0,0.0,.000,-4.7,-1.1"
"34,34,ATL,Terence Morris\morrite01,University of Maryland,3,139,1934,472,377,93,.407,.196,.711,13.9,3.4,2.7,0.7,1.0,.025,-3.6,-0.8"
"35,35,NJN,Brian Scalabrine\scalabr01,University of Southern California,11,520,6772,1594,1034,436,.390,.344,.783,13.0,3.1,2.0,0.8,7.6,.054,-2.6,-1.1"
"36,36,CLE,Jeff Trepagnier\trepaje01,University of Southern California,3,31,270,88,43,22,.337,.462,.700,8.7,2.8,1.4,0.7,-0.2,-.038,-4.8,-0.2"
"37,37,PHI,Damone Brown\brownda02,Syracuse University,4,39,351,108,52,19,.336,.286,.667,9.0,2.8,1.3,0.5,-0.7,-.100,-10.3,-0.7"
"38,38,DET,Mehmet Okur\okurme01,,10,634,18429,8561,4436,1089,.458,.375,.797,29.1,13.5,7.0,1.7,54.7,.142,1.4,15.7"
"39,39,NYK,Michael Wright,University of Arizona,,,,,,,,,,,,,,,,,"
"40,40,SEA,Earl Watson\watsoea01,University of California Los Angeles,13,878,19494,5593,1985,3871,.411,.324,.703,22.2,6.4,2.3,4.4,19.2,.047,-1.8,1.0"
"41,41,IND,Jamison Brewer\breweja01,Auburn University,4,54,468,89,50,56,.372,.250,.393,8.7,1.6,0.9,1.0,0.0,-.001,-4.4,-0.3"
"42,42,SEA,Bobby Simmons\simmobo01,DePaul University,10,466,11513,4189,1791,710,.437,.396,.823,24.7,9.0,3.8,1.5,20.1,.084,-0.1,5.4"
"43,43,NYK,Eric Chenowith,University of Kansas,,,,,,,,,,,,,,,,,"
"44,44,DAL,Kyle Hill,Eastern Illinois University,,,,,,,,,,,,,,,,,"
"45,45,CHI,Sean Lampley\lamplse01,University of California,2,45,550,203,94,33,.463,.000,.691,12.2,4.5,2.1,0.7,1.1,.096,-3.2,-0.2"
"46,46,MIN,Loren Woods\woodslo01,University of Arizona,6,215,2428,555,682,74,.419,.143,.642,11.3,2.6,3.2,0.3,3.1,.062,-2.9,-0.6"
"47,47,DEN,Ousmane Cisse,,,,,,,,,,,,,,,,,,"
"48,48,MEM,Antonis Fotsis\fotsian01,,1,28,320,108,62,10,.404,.304,.850,11.4,3.9,2.2,0.4,0.1,.017,-4.9,-0.2"
"49,49,MIA,Ken Johnson\johnske03,Ohio State University,1,16,156,32,32,0,.405,,.333,9.8,2.0,2.0,0.0,0.0,-.002,-10.0,-0.3"
"50,50,POR,Ruben Boumtje-Boumtje\boumtru01,Georgetown University,3,44,276,43,57,6,.368,,.556,6.3,1.0,1.3,0.1,0.2,.027,-4.5,-0.2"
"51,51,PHO,Alton Ford\fordal02,University of Houston,3,73,524,186,124,11,.507,,.697,7.2,2.5,1.7,0.2,0.8,.074,-6.5,-0.6"
"52,52,MIL,Andre Hutson,Michigan State University,,,,,,,,,,,,,,,,,"
"53,53,UTA,Jarron Collins\collija03,Stanford University,10,542,8542,2095,1579,419,.455,.000,.699,15.8,3.9,2.9,0.8,15.7,.088,-1.8,0.5"
"54,54,DAL,Kenny Satterfield\satteke01,University of Cincinnati,2,75,1062,321,95,176,.335,.218,.746,14.2,4.3,1.3,2.3,-1.1,-.051,-6.1,-1.1"
"55,55,SAC,Maurice Jeffers,Saint Louis University,,,,,,,,,,,,,,,,,"
"56,56,SAS,Robertas Javtokas\javtoro01,,,,,,,,,,,,,,,,,,"
"57,57,PHI,Alvin Jones\jonesal01,Georgia Institute of Technology,1,23,126,26,36,3,.400,,.500,5.5,1.1,1.6,0.1,0.1,.034,-4.5,-0.1"
"58,58,SAS,Bryan Bracey,University of Oregon,,,,,,,,,,,,,,,,,"
