",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"16,16,DEN,Maurice Martin\martima01,Saint Joseph's University,2,69,422,204,65,49,.378,.211,.598,6.1,3.0,0.9,0.7,-0.3,-.033,-6.2,-0.5"
"17,17,SAC,Harold Pressley\pressha01,Villanova University,4,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070,0.7,4.6"
"18,18,DEN,Mark Alarie\alarima01,Duke University,5,325,5500,2432,1120,363,.475,.252,.775,16.9,7.5,3.4,1.1,8.4,.073,-2.2,-0.3"
"19,19,ATL,Billy Thompson\thompbi01,University of Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-0.1,3.2"
"20,20,HOU,Buck Johnson\johnsbu01,University of Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084,-0.7,3.7"
"21,21,WSB,Anthony Jones\jonesan01,University of Nevada Las Vegas,3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022,-3.7,-0.7"
"22,22,MIL,Scott Skiles\skilesc01,Michigan State University,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087,-1.2,3.2"
"23,23,LAL,Ken Barlow,University of Notre Dame,,,,,,,,,,,,,,,,,"
"24,24,POR,Arvydas Sabonis\sabonar01,,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,3.8,16.6"
"25,25,DAL,Mark Price\pricema01,Georgia Institute of Technology,12,722,21560,10989,1848,4863,.472,.402,.904,29.9,15.2,2.6,6.7,71.1,.158,2.2,22.7"
"26,26,IND,Greg Dreiling\dreilgr01,University of Kansas,10,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045,-4.1,-2.3"
"27,27,DET,Dennis Rodman\rodmade01,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,.521,.231,.584,31.7,7.3,13.1,1.8,89.8,.150,3.0,36.5"
"28,28,CHI,Larry Krystkowiak\krystla01,University of Montana,9,420,9097,3425,2051,513,.457,.139,.795,21.7,8.2,4.9,1.2,15.6,.082,-2.1,-0.2"
"29,29,CLE,Johnny Newman\newmajo01,University of Richmond,16,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085,-1.3,4.8"
"30,30,SEA,Nate McMillan\mcmilna01,North Carolina State University,12,796,20462,4733,3222,4893,.443,.343,.650,25.7,5.9,4.0,6.1,50.2,.118,3.0,25.7"
"31,31,PHO,Joe Ward,University of Georgia,,,,,,,,,,,,,,,,,"
"32,32,ATL,Cedric Henderson\hendece01,University of Georgia,1,8,16,11,8,0,.500,,1.000,2.0,1.4,1.0,0.0,0.0,-.015,-18.9,-0.1"
"33,33,SAS,Kevin Duckworth\duckwke01,Eastern Illinois University,11,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068,-3.7,-7.4"
"34,34,SAC,Johnny Rogers\rogerjo01,University of California Irvine,2,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032,-5.2,-0.5"
"35,35,DAL,Milt Wagner\wagnemi01,University of Louisville,2,53,496,215,35,76,.422,.296,.875,9.4,4.1,0.7,1.4,0.4,.039,-6.3,-0.5"
"36,36,WSB,Steve Mitchell,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,"
"37,37,POR,Parragiotis Fasoulas,North Carolina State University,,,,,,,,,,,,,,,,,"
"38,38,SEA,Lemone Lampley,DePaul University,,,,,,,,,,,,,,,,,"
"39,39,PHO,Rafael Addison\addisra01,Syracuse University,6,379,5697,2186,780,339,.449,.282,.772,15.0,5.8,2.1,0.9,4.9,.041,-4.1,-3.0"
"40,40,ATL,Augusto Binelli,,,,,,,,,,,,,,,,,,"
"41,41,DEN,Otis Smith\smithot01,Jacksonville University,6,375,7720,3951,1416,690,.455,.251,.762,20.6,10.5,3.8,1.8,12.3,.076,0.0,3.8"
"42,42,ATL,Ron Kellogg,University of Kansas,,,,,,,,,,,,,,,,,"
"43,43,HOU,Dave Feitl\feitlda01,University of Texas at El Paso,5,275,3001,1192,815,125,.433,.000,.751,10.9,4.3,3.0,0.5,1.4,.022,-6.7,-3.5"
"44,44,PHI,David Wingate\wingada01,Georgetown University,15,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042,-2.6,-2.0"
"45,45,MIL,Keith Smith\smithke03,Loyola Marymount University,1,42,461,138,32,43,.380,.333,.750,11.0,3.3,0.8,1.0,0.0,-.003,-4.9,-0.3"
"46,46,PHO,Jeff Hornacek\hornaje01,Iowa State University,14,1077,33964,15659,3646,5281,.496,.403,.877,31.5,14.5,3.4,4.9,108.9,.154,3.0,43.2"
"47,47,NYK,Michael Jackson\jacksmi02,Georgetown University,3,89,888,188,70,198,.369,.273,.675,10.0,2.1,0.8,2.2,-0.2,-.011,-7.1,-1.1"
"48,48,SAS,Forrest McKenzie\mckenfo01,Loyola Marymount University,1,6,42,17,7,1,.250,.500,1.000,7.0,2.8,1.2,0.2,-0.2,-.223,-18.8,-0.2"
"49,49,POR,Juden Smith,University of Texas at El Paso,,,,,,,,,,,,,,,,,"
"50,50,CLE,Kevin Henderson\hendeke01,California State University Fullerton,2,22,235,65,24,34,.393,.000,.607,10.7,3.0,1.1,1.5,-0.2,-.038,-6.9,-0.3"
"51,51,GSW,Mike Williams\willimi03,Bradley University,1,21,102,15,23,2,.333,.000,.500,4.9,0.7,1.1,0.1,0.0,.012,-5.9,-0.1"
"52,52,CHI,Ricky Wilson\wilsori02,George Mason University,1,24,420,125,27,69,.391,.385,.725,17.5,5.2,1.1,2.9,0.3,.032,-4.2,-0.2"
"53,53,SEA,Tod Murphy\murphto01,University of California Irvine,5,191,4071,1049,941,183,.454,.290,.679,21.3,5.5,4.9,1.0,8.0,.095,-0.9,1.1"
"54,54,LAC,Dwayne Polee\poleedw01,Pepperdine University,1,1,6,2,0,0,.250,.000,,6.0,2.0,0.0,0.0,0.0,-.397,-14.0,0.0"


