",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP"
"1,1,CLE,Brad Daugherty\daughbr01,University of North Carolina,8,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156,2.6,23.1"
"2,2,BOS,Len Bias,University of Maryland,,,,,,,,,,,,,,,,,"
"3,3,GSW,Chris Washburn\washbch01,North Carolina State University,2,72,645,222,176,22,.412,.000,.439,9.0,3.1,2.4,0.3,-0.6,-.046,-7.9,-1.0"
"4,4,IND,Chuck Person\persoch01,Auburn University,13,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065,-0.2,12.9"
"5,5,NYK,Kenny Walker\walkeke01,University of Kentucky,7,448,9050,3128,1793,299,.485,.206,.749,20.2,7.0,4.0,0.7,17.9,.095,-1.2,1.7"
"6,6,PHO,William Bedford\bedfowi01,University of Memphis,6,238,2514,964,573,109,.416,.318,.605,10.6,4.1,2.4,0.5,0.9,.017,-5.1,-2.0"
"7,7,DAL,Roy Tarpley\tarplro01,University of Michigan,6,280,7476,3533,2803,292,.483,.176,.744,26.7,12.6,10.0,1.0,19.8,.127,0.2,4.2"
"8,8,CLE,Ron Harper\harpero01,Miami University,15,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101,2.1,32.0"
"9,9,CHI,Brad Sellers\sellebr01,Ohio State University,6,398,7154,2509,1064,435,.452,.200,.793,18.0,6.3,2.7,1.1,9.8,.066,-2.6,-1.0"
"10,10,SAS,Johnny Dawkins\dawkijo01,Duke University,9,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-1.8,0.7"
"11,11,DET,John Salley\sallejo01,Georgia Institute of Technology,11,748,16524,5228,3356,916,.506,.214,.714,22.1,7.0,4.5,1.2,41.5,.121,1.7,15.6"
"12,12,WSB,John Williams\willijo02,Louisiana State University,8,435,10952,4406,2201,1262,.451,.225,.704,25.2,10.1,5.1,2.9,19.9,.087,1.3,9.2"
"13,13,NJN,Pearl Washington\washipe01,Syracuse University,3,194,4044,1660,370,733,.452,.184,.746,20.8,8.6,1.9,3.8,1.9,.023,-2.4,-0.4"
"14,14,POR,Walter Berry\berrywa01,St. John's University,3,205,4863,2882,971,292,.539,.200,.638,23.7,14.1,4.7,1.4,8.2,.081,-1.3,0.8"
"15,15,UTA,Dell Curry\curryde01,Virginia Polytechnic Institute and State University,16,1083,23549,12670,2617,1909,.457,.402,.843,21.7,11.7,2.4,1.8,41.5,.085,-0.3,10.1"
