",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP"
"43,43,DEN,Barry Stevens\steveba01,Iowa State University,1,2,6,2,2,0,.500,,,3.0,1.0,1.0,0.0,0.0,.157,-4.9,0.0"
"44,44,PHI,Voise Winters\wintevo01,Bradley University,1,4,17,6,3,0,.231,.000,,4.3,1.5,0.8,0.0,-0.1,-.355,-25.5,-0.1"
"45,45,CLE,Hot Rod Williams\williho01,Tulane University,13,887,26327,9784,5998,1592,.480,.105,.726,29.7,11.0,6.8,1.8,70.5,.129,1.8,25.1"
"46,46,CHI,Adrian Branch\brancad01,University of Maryland,4,130,1429,834,253,96,.455,.231,.744,11.0,6.4,1.9,0.7,2.1,.070,-2.9,-0.3"
"47,47,NYK,Gerald Wilkins\wilkige01,University of Tennessee at Chattanooga,13,900,26084,11736,2646,2697,.450,.316,.745,29.0,13.0,2.9,3.0,33.9,.062,-1.1,5.6"
"48,48,IND,Kenny Patterson,DePaul University,,,,,,,,,,,,,,,,,"
"49,49,GSW,Brad Wright\wrighbr01,University of California Los Angeles,2,16,145,54,54,1,.412,.000,.429,9.1,3.4,3.4,0.1,-0.1,-.045,-10.3,-0.3"
"50,50,DAL,Leonard Allen,San Diego State University,,,,,,,,,,,,,,,,,"
"51,51,SAC,Charles Bradley,University of South Florida,,,,,,,,,,,,,,,,,"
"52,52,LAC,Anicet Lavodrama,Houston Baptist University,,,,,,,,,,,,,,,,,"
"53,53,SEA,Rolando Lamb,Virginia Commonwealth University,,,,,,,,,,,,,,,,,"
"54,54,HOU,Sam Mitchell\mitchsa01,Mercer University,13,994,22257,8636,3711,1089,.447,.223,.784,22.4,8.7,3.7,1.1,41.7,.090,-2.3,-1.5"


